min_confidence,precision_A,recall_A,distance_pc_A
0,42.28644283892903,100.0,13.125796855078622
1,42.304421768707485,99.8995983935743,13.124574829931973
2,42.98056155507559,96.32139399806388,12.945572354211663
3,43.96818382677861,91.70506912442397,12.60362350861688
4,45.12471655328798,87.05161854768154,12.180045351473924
5,46.3221601489758,82.91666666666667,11.758845437616387
6,47.335870599429114,79.85553772070627,11.504281636536632
7,48.2541222114452,77.37169517884914,11.259456838021338
8,49.7002997002997,73.92273402674591,10.852647352647352
9,50.869120654396724,71.47988505747126,10.469325153374234
10,51.76899063475546,69.77559607293128,10.142559833506764
11,52.953698775944645,67.73315180394826,9.828100053219798
12,54.31222707423581,65.63324538258574,9.468340611353712
13,55.930297920179875,63.4161886551944,9.13884204609331
14,56.824671616219305,62.30432060112712,8.927470017133066
15,57.98368298368298,60.96813725490197,8.59965034965035
16,58.980438648488445,59.90367248645394,8.301719027860107
17,60.12084592145015,58.77141169521559,7.961329305135951
18,61.34401972872996,57.64774044032445,7.594327990135635
19,62.61799874134676,56.56623081296191,7.219005663939584
20,63.43331206126356,55.842696629213485,7.02680280791321
21,64.59016393442623,54.32984004412575,6.719344262295082
22,66.12794612794613,53.08108108108108,6.362289562289562
23,66.71195652173914,52.71068169618894,6.209239130434782
24,67.42268041237114,52.208621607237895,5.975257731958763
25,69.27966101694916,51.14702815432742,5.627118644067797
26,71.22093023255815,50.07664793050588,5.2289244186046515
27,73.35329341317365,49.073610415623435,4.825598802395209
28,74.63823305407465,48.51485148514851,4.5049504950495045
29,77.08661417322836,47.478176527643065,4.151968503937008
30,78.32000000000001,47.02209414024976,3.7448
31,79.91836734693878,46.46416706217371,3.2620408163265306
32,80.64250411861615,46.22285174693106,3.161449752883031
33,80.97601323407775,46.1139896373057,3.085194375516956
34,81.71953255425709,45.876288659793815,2.9332220367278796
35,82.7557058326289,45.55607259190321,2.6956889264581574
36,83.60375747224595,45.30310041647386,2.484201537147737
37,84.17884780739467,45.13600737667128,2.372312983662941
38,85.50218340611355,44.76451760402378,1.9441048034934498
39,86.09154929577466,44.55580865603645,1.7473591549295775
40,86.62533215234721,44.4141689373297,1.6076173604960142
41,87.08815672306322,44.29347826086957,1.4692787177203919
42,87.94964028776978,44.07390716538981,1.2401079136690647
43,88.78760255241568,43.67713004484305,0.9662716499544212
44,89.34802571166207,43.4957532409477,0.8393021120293848
45,89.56602031394276,43.30357142857143,0.7830101569713758
46,90.36482694106641,42.93333333333334,0.5163704396632367
47,90.68673565380998,42.76841171251109,0.4280338664158043
48,90.77212806026365,42.749445676274945,0.4171374764595104
49,90.85768143261075,42.730496453900706,0.41564561734213007
50,90.9433962264151,42.711564023039436,0.39905660377358493
51,91.5465898174832,42.075055187637965,0.2929875120076849
52,91.5465898174832,42.075055187637965,0.2929875120076849
53,91.5465898174832,42.075055187637965,0.2929875120076849
54,91.5465898174832,42.075055187637965,0.2929875120076849
55,91.5465898174832,42.075055187637965,0.2929875120076849
56,91.5465898174832,42.075055187637965,0.2929875120076849
57,91.5465898174832,42.075055187637965,0.2929875120076849
58,91.5465898174832,42.075055187637965,0.2929875120076849
59,91.5465898174832,42.075055187637965,0.2929875120076849
60,91.5465898174832,42.075055187637965,0.2929875120076849
61,91.5465898174832,42.075055187637965,0.2929875120076849
62,91.5465898174832,42.075055187637965,0.2929875120076849
63,91.5465898174832,42.075055187637965,0.2929875120076849
64,91.5465898174832,42.075055187637965,0.2929875120076849
65,91.5465898174832,42.075055187637965,0.2929875120076849
66,91.5465898174832,42.075055187637965,0.2929875120076849
67,91.5465898174832,42.075055187637965,0.2929875120076849
68,91.5465898174832,42.075055187637965,0.2929875120076849
69,91.5465898174832,42.075055187637965,0.2929875120076849
70,91.5465898174832,42.075055187637965,0.2929875120076849
71,91.5465898174832,42.075055187637965,0.2929875120076849
72,91.5465898174832,42.075055187637965,0.2929875120076849
73,91.5465898174832,42.075055187637965,0.2929875120076849
74,91.5465898174832,42.075055187637965,0.2929875120076849
75,91.5465898174832,42.075055187637965,0.2929875120076849
76,91.5465898174832,42.075055187637965,0.2929875120076849
77,91.5465898174832,42.075055187637965,0.2929875120076849
78,91.5465898174832,42.075055187637965,0.2929875120076849
79,91.5465898174832,42.075055187637965,0.2929875120076849
80,91.5465898174832,42.075055187637965,0.2929875120076849
81,91.5465898174832,42.075055187637965,0.2929875120076849
82,91.5465898174832,42.075055187637965,0.2929875120076849
83,91.5465898174832,42.075055187637965,0.2929875120076849
84,91.5465898174832,42.075055187637965,0.2929875120076849
85,91.5465898174832,42.075055187637965,0.2929875120076849
86,91.5465898174832,42.075055187637965,0.2929875120076849
87,91.5465898174832,42.075055187637965,0.2929875120076849
88,91.5465898174832,42.075055187637965,0.2929875120076849
89,91.5465898174832,42.075055187637965,0.2929875120076849
90,91.5465898174832,42.075055187637965,0.2929875120076849
91,91.5465898174832,42.075055187637965,0.2929875120076849
92,91.5465898174832,42.075055187637965,0.2929875120076849
93,91.5465898174832,42.075055187637965,0.2929875120076849
94,91.5465898174832,42.075055187637965,0.2929875120076849
95,91.5465898174832,42.075055187637965,0.2929875120076849
96,91.5465898174832,42.075055187637965,0.2929875120076849
97,91.5465898174832,42.075055187637965,0.2929875120076849
98,91.5465898174832,42.075055187637965,0.2929875120076849
99,91.5465898174832,42.075055187637965,0.2929875120076849
100,91.5465898174832,42.075055187637965,0.2929875120076849
